name,symbol,price_usd,change,volume_M,market_cap_B,pe_ratio
Wells Fargo & Company,WFC,81.55,-0.42,13.514,250.763,15.7
Wipro Limited,WIT,2.13,-0.01,13.412,22.782,16.27
United Microelectronics Corporation,UMC,12.33,-0.31,13.08,31.294,22.05
"ImmunityBio, Inc.",IBRX,8.1,-0.1,13.049,8.365,
Hecla Mining Company,HL,18.09,-1.24,13.012,12.131,39.88
"Chipotle Mexican Grill, Inc.",CMG,36.05,0.22,13.004,47.668,31.43
Oklo Inc.,OKLO,62.61,-5.52,13.004,10.867,
CNH Industrial N.V.,CNH,10.79,-0.05,12.925,13.39,25.91
Broadcom Inc.,AVGO,402.17,2.54,12.715,1907.0,79.23
Itaú Unibanco Holding S.A.,ITUB,9.09,-0.19,12.559,100.184,11.67
Occidental Petroleum Corporation,OXY,56.33,1.85,12.51,55.862,39.84
"Lyft, Inc.",LYFT,14.75,0.33,12.449,5.872,2.16
Stellantis N.V.,STLA,8.59,-0.1,12.339,24.889,
Petróleo Brasileiro S.A. - Petrobras,PBR,21.15,0.39,12.31,136.298,5.41
Circle Internet Group,CRCL,96.02,-10.34,12.172,25.534,
"Riot Platforms, Inc.",RIOT,17.41,-0.7,12.116,6.601,
Unity Software Inc.,U,25.41,-1.12,12.088,11.087,
Huntington Bancshares Incorporated,HBAN,16.97,-0.09,12.068,34.57,12.12
"Salesforce, Inc.",CRM,187.11,0.84,12.023,172.703,23.35
Viatris Inc.,VTRS,14.73,-0.14,11.961,17.152,
"PayPal Holdings, Inc.",PYPL,50.88,-0.58,11.912,46.843,9.39
GE Aerospace,GE,286.73,-16.87,11.876,302.447,39.83
QUALCOMM Incorporated,QCOM,135.56,-1.96,11.846,144.784,27.7
IAMGOLD Corporation,IAG,16.83,-1.68,11.817,9.92,16.92
"Uber Technologies, Inc.",UBER,77.26,-0.23,11.664,159.01,16.32
PDD Holdings Inc.,PDD,98.99,-5.21,11.618,140.531,10.66
"Avis Budget Group, Inc.",CAR,712.16,103.36,11.614,25.157,
Permian Resources Corporation,PR,19.91,0.31,11.567,17.478,15.18
"Patterson-UTI Energy, Inc.",PTEN,10.56,0.79,11.559,4.009,
Walmart Inc.,WMT,129.6,1.68,11.428,1033.0,38.96
UWM Holdings Corporation,UWMC,3.74,-0.24,11.198,5.994,32.26
"T-Mobile US, Inc.",TMUS,195.39,-2.97,11.132,218.545,20.34
Barrick Mining Corporation,B,40.45,-2.51,10.847,67.937,14.84
CSX Corporation,CSX,43.37,-0.34,10.802,80.668,28.13
DraftKings Inc.,DKNG,22.99,0.1,10.744,11.397,
"Conagra Brands, Inc.",CAG,14.67,-0.17,10.722,7.019,
"Warner Bros. Discovery, Inc.",WBD,27.31,-0.11,10.666,68.46,94.72
Bloom Energy Corporation,BE,220.91,2.64,10.586,62.783,
Alibaba Group Holding Limited,BABA,135.38,-4.79,10.5,323.796,24.88
Equinox Gold Corp.,EQX,14.17,-1.22,10.448,11.182,
"Merck & Co., Inc.",MRK,112.56,-4.54,10.437,278.292,16.36
"Peloton Interactive, Inc.",PTON,5.0,-0.18,10.436,2.127,
"Astera Labs, Inc.",ALAB,191.97,16.17,10.247,32.676,142.66
"Banco Santander, S.A.",SAN,12.33,-0.35,10.167,178.805,13.85
Nebius Group N.V.,NBIS,156.55,-2.61,10.011,39.61,1371.01
"Compass, Inc.",COMP,7.83,-0.25,10.006,5.842,
"VNET Group, Inc.",VNET,8.68,-0.52,9.913,2.471,
Summit Therapeutics Inc.,SMMT,26.38,1.26,9.891,20.473,
"Delta Air Lines, Inc.",DAL,70.22,-0.99,9.873,46.134,10.47
Kinross Gold Corporation,KGC,32.06,-2.64,9.851,38.544,17.96
Devon Energy Corporation,DVN,45.6,0.66,9.813,28.338,10.61
"Pinterest, Inc.",PINS,20.62,-0.02,9.798,13.214,32.98
"Dynatrace, Inc.",DT,35.72,0.28,9.733,10.769,59.06
Dow Inc.,DOW,38.31,1.54,9.634,27.569,
Alphabet Inc.,GOOG,330.47,-4.93,9.624,3998.0,31.64
Planet Labs PBC,PL,38.03,0.53,9.599,13.164,
Pitney Bowes Inc.,PBI,14.63,1.44,9.595,2.187,15.29
Endeavour Silver Corp.,EXK,9.38,-0.71,9.567,2.774,
CCC Intelligent Solutions Holdings Inc.,CCC,5.37,-0.28,9.558,3.26,9038.46
"Applied Optoelectronics, Inc.",AAOI,150.57,-12.9,9.408,11.698,
The Charles Schwab Corporation,SCHW,91.97,-1.18,9.377,161.151,18.35
Energy Transfer LP,ET,18.96,0.05,9.269,65.228,15.59
Energy Fuels Inc.,UUUU,20.52,-0.99,9.253,5.094,
"Fastly, Inc.",FSLY,26.56,1.15,9.173,4.032,
Sandisk Corporation,SNDK,903.49,-9.53,9.125,133.359,
Dell Technologies Inc.,DELL,212.36,8.75,9.021,140.729,22.64
Medtronic plc,MDT,82.0,-3.0,9.005,105.279,24.08
"DigitalBridge Group, Inc.",DBRG,15.61,0.02,8.947,3.051,32.48
VICI Properties Inc.,VICI,28.42,-0.36,8.909,30.381,11.11
"Arista Networks, Inc.",ANET,172.86,6.01,8.889,217.66,59.72
Credo Technology Group Holding Ltd,CRDO,183.32,8.79,8.874,33.813,88.15
Johnson & Johnson,JNJ,226.16,-4.53,8.767,545.023,27.12
"Avantor, Inc.",AVTR,8.53,0.03,8.752,5.818,
"MaxLinear, Inc.",MXL,33.7,1.97,8.743,3.017,
STMicroelectronics N.V.,STM,44.3,-0.16,8.703,39.372,242.79
Sunrun Inc.,RUN,11.78,-0.4,8.537,2.774,7.29
Microchip Technology Incorporated,MCHP,80.93,0.54,8.517,43.794,
"United Airlines Holdings, Inc.",UAL,97.13,-1.78,8.431,31.533,9.98
"Kinder Morgan, Inc.",KMI,31.57,-0.37,8.341,70.238,23.41
Exelon Corporation,EXC,46.27,-0.13,8.29,47.342,17.22
Taiwan Semiconductor Manufacturing Company Limited,TSM,368.08,1.84,8.261,1909.0,27.58
"Dynex Capital, Inc.",DX,13.76,0.04,8.199,2.848,
"Lumen Technologies, Inc.",LUMN,8.73,0.06,8.088,8.993,
Chevron Corporation,CVX,185.98,2.73,8.08,370.453,27.75
Citigroup Inc.,C,131.68,-1.37,8.053,331.386,16.44
The Coca-Cola Company,KO,74.7,-0.78,7.977,321.52,24.91
Harmony Gold Mining Company Limited,HMY,17.25,-1.09,7.847,10.891,12.14
"Alaska Air Group, Inc.",ALK,41.45,-2.09,7.834,4.752,54.7
